Road ID,Direction,Year,Hour,VEH,Average Speed,PC,Taxi,LGV3,LGV4,LGV6,HGV7,HGV8,PLB,PV4,PV5,NFB6,NFB7,NFB8,FBSD,FBDD,MC,HV%
1a,Bothbound,2023,0,450,40,82,5,0.1,3.9,2,2,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,12
1a,NB,2023,0,240,40,82,5,0.1,3.9,2,2,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,12
1a,SB,2023,0,210,40,82,5,0.1,3.9,2,2,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,12
1a,Bothbound,2028,0,470,40,82,5,0.1,3.9,2,2,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,12
1a,NB,2028,0,250,40,82,5,0.1,3.9,2,2,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,12
1a,SB,2028,0,220,40,82,5,0.1,3.9,2,2,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,12
1a,Bothbound,2033,0,490,40,82,5,0.1,3.9,2,2,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,12
1a,NB,2033,0,260,40,82,5,0.1,3.9,2,2,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,12
1a,SB,2033,0,230,40,82,5,0.1,3.9,2,2,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,12
1a,Bothbound,2038,0,510,40,82,5,0.1,3.9,2,2,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,12
1a,NB,2038,0,270,40,82,5,0.1,3.9,2,2,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,12
1a,SB,2038,0,240,40,82,5,0.1,3.9,2,2,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,12
1a,Bothbound,2023,1,380,40,82,4,0.1,2.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,13
1a,NB,2023,1,200,40,82,4,0.1,2.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,13
1a,SB,2023,1,180,40,82,4,0.1,2.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,13
1a,Bothbound,2028,1,390,40,82,4,0.1,2.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,13
1a,NB,2028,1,210,40,82,4,0.1,2.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,13
1a,SB,2028,1,180,40,82,4,0.1,2.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,13
1a,Bothbound,2033,1,410,40,82,4,0.1,2.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,13
1a,NB,2033,1,220,40,82,4,0.1,2.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,13
1a,SB,2033,1,190,40,82,4,0.1,2.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,13
1a,Bothbound,2038,1,430,40,82,4,0.1,2.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,13
1a,NB,2038,1,230,40,82,4,0.1,2.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,13
1a,SB,2038,1,200,40,82,4,0.1,2.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,13
1a,Bothbound,2023,2,330,40,80,5,0.1,3.9,3,3,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,14
1a,NB,2023,2,170,40,80,5,0.1,3.9,3,3,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,14
1a,SB,2023,2,160,40,80,5,0.1,3.9,3,3,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,14
1a,Bothbound,2028,2,340,40,80,5,0.1,3.9,3,3,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,14
1a,NB,2028,2,170,40,80,5,0.1,3.9,3,3,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,14
1a,SB,2028,2,170,40,80,5,0.1,3.9,3,3,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,14
1a,Bothbound,2033,2,350,40,80,5,0.1,3.9,3,3,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,14
1a,NB,2033,2,180,40,80,5,0.1,3.9,3,3,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,14
1a,SB,2033,2,170,40,80,5,0.1,3.9,3,3,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,14
1a,Bothbound,2038,2,370,40,80,5,0.1,3.9,3,3,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,14
1a,NB,2038,2,190,40,80,5,0.1,3.9,3,3,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,14
1a,SB,2038,2,180,40,80,5,0.1,3.9,3,3,0,0,2.2,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,1,14
1a,Bothbound,2023,3,310,40,83,4,0.1,1.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,12
1a,NB,2023,3,170,40,83,4,0.1,1.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,12
1a,SB,2023,3,140,40,83,4,0.1,1.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,12
1a,Bothbound,2028,3,320,40,83,4,0.1,1.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,12
1a,NB,2028,3,170,40,83,4,0.1,1.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,12
1a,SB,2028,3,150,40,83,4,0.1,1.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,12
1a,Bothbound,2033,3,330,40,83,4,0.1,1.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,12
1a,NB,2033,3,180,40,83,4,0.1,1.9,3,2,0,0,2.7,2.3,0.0,0.0,0.0,0.0,0.0,1,12
