Road Type,Hour,Speed Fractions Range,Vehicle Type,Speed Fraction
1,0.0,Spd008,PC,2.0
1,0.0,Spd008,Taxi,0.0
1,0.0,Spd008,LGV3,0.0
1,0.0,Spd008,LGV4,0.0
1,0.0,Spd008,LGV6,3.0
1,0.0,Spd008,HGV7,2.0
1,0.0,Spd008,HGV8,3.0
1,0.0,Spd008,PLB,0.0
1,0.0,Spd008,PV4,10.0
1,0.0,Spd008,PV5,10.0
1,0.0,Spd008,NFB6,25.0
1,0.0,Spd008,NFB7,25.0
1,0.0,Spd008,NFB8,25.0
1,0.0,Spd008,FBSD,25.0
1,0.0,Spd008,FBDD,25.0
1,0.0,Spd008,MC,0.0
1,0.0,Spd016,PC,31.0
1,0.0,Spd016,Taxi,23.0
1,0.0,Spd016,LGV3,28.0
1,0.0,Spd016,LGV4,28.0
1,0.0,Spd016,LGV6,41.0
1,0.0,Spd016,HGV7,49.0
1,0.0,Spd016,HGV8,43.0
1,0.0,Spd016,PLB,48.0
1,0.0,Spd016,PV4,65.0
1,0.0,Spd016,PV5,65.0
1,0.0,Spd016,NFB6,65.0
1,0.0,Spd016,NFB7,65.0
1,0.0,Spd016,NFB8,65.0
1,0.0,Spd016,FBSD,65.0
1,0.0,Spd016,FBDD,65.0
1,0.0,Spd016,MC,17.0
1,0.0,Spd024,PC,54.00000000000001
1,0.0,Spd024,Taxi,56.00000000000001
1,0.0,Spd024,LGV3,49.00000000000001
1,0.0,Spd024,LGV4,49.00000000000001
1,0.0,Spd024,LGV6,41.0
1,0.0,Spd024,HGV7,38.0
1,0.0,Spd024,HGV8,40.0
1,0.0,Spd024,PLB,47.0
1,0.0,Spd024,PV4,20.0
1,0.0,Spd024,PV5,20.0
1,0.0,Spd024,NFB6,10.0
1,0.0,Spd024,NFB7,10.0
1,0.0,Spd024,NFB8,10.0
1,0.0,Spd024,FBSD,10.0
1,0.0,Spd024,FBDD,10.0
1,0.0,Spd024,MC,68.0
1,0.0,Spd032,PC,7.000000000000001
1,0.0,Spd032,Taxi,13.0
1,0.0,Spd032,LGV3,11.0
1,0.0,Spd032,LGV4,11.0
1,0.0,Spd032,LGV6,10.0
1,0.0,Spd032,HGV7,8.0
1,0.0,Spd032,HGV8,13.0
1,0.0,Spd032,PLB,5.0
1,0.0,Spd032,PV4,5.0
1,0.0,Spd032,PV5,5.0
1,0.0,Spd032,NFB6,0.0
1,0.0,Spd032,NFB7,0.0
1,0.0,Spd032,NFB8,0.0
1,0.0,Spd032,FBSD,0.0
1,0.0,Spd032,FBDD,0.0
1,0.0,Spd032,MC,10.0
1,0.0,Spd040,PC,4.0
1,0.0,Spd040,Taxi,8.0
1,0.0,Spd040,LGV3,9.0
1,0.0,Spd040,LGV4,9.0
1,0.0,Spd040,LGV6,5.0
1,0.0,Spd040,HGV7,3.0
1,0.0,Spd040,HGV8,1.0
1,0.0,Spd040,PLB,0.0
1,0.0,Spd040,PV4,0.0
1,0.0,Spd040,PV5,0.0
1,0.0,Spd040,NFB6,0.0
1,0.0,Spd040,NFB7,0.0
1,0.0,Spd040,NFB8,0.0
1,0.0,Spd040,FBSD,0.0
1,0.0,Spd040,FBDD,0.0
1,0.0,Spd040,MC,5.0
1,0.0,Spd048,PC,2.0
1,0.0,Spd048,Taxi,0.0
1,0.0,Spd048,LGV3,3.0
1,0.0,Spd048,LGV4,3.0
1,0.0,Spd048,LGV6,0.0
1,0.0,Spd048,HGV7,0.0
1,0.0,Spd048,HGV8,0.0
1,0.0,Spd048,PLB,0.0
1,0.0,Spd048,PV4,0.0
